days_since_last_login,subscription_age_months,monthly_watch_hours,customer_support_tickets,watchlist_size,avg_completion_rate,preferred_content_imdb,preferred_content_meta,has_no_watchlist,is_new_subscriber,churn
16,20,26.785994814251318,4,21,0.9530164594130114,7.317290245142224,81.66934799345665,0,0,1
16,34,45.914019683075914,4,21,0.7202290212823039,8.08658671160933,74.34668580857674,0,0,0
26,25,18.709200926665936,1,39,0.8507476973875971,8.388772362384794,81.93710686005716,0,0,1
11,24,100.70749727147079,0,37,0.7598377207959268,8.53690616683294,87.36031853466638,0,0,0
26,33,103.17027312822788,0,36,0.42435463604870016,7.085571381727904,84.1094175438605,0,0,0
42,23,52.720450149163256,0,17,0.27787529853201715,7.515174282920837,79.16903764368277,0,0,1
28,23,95.85170677938643,1,27,0.6217580495207728,9.333341554357252,71.39257177322116,0,0,0
26,23,12.515979191878372,0,3,0.8116508483550672,8.315922269734317,75.57219813481514,0,0,1
28,8,90.29367483405966,4,41,0.28529378936048905,7.3653738223920415,81.28517416921673,0,0,1
32,4,109.3701445015007,4,14,0.7799960246887438,7.395753198553406,80.49121478207732,0,0,1
14,7,45.540862749559494,1,30,0.3873027680075697,8.78559865266279,67.35748735492439,0,0,0
31,8,7.551245333484688,1,33,0.5285896271101128,7.541043872097183,87.46412682149428,0,0,1
28,20,69.85075017689672,4,9,0.5920266954667058,8.988160888515592,75.55607948975745,0,0,1
51,30,49.887464615078784,3,27,0.7921969691565692,8.73943593702791,78.53743793110736,0,0,1
2,12,92.65438670613035,1,5,0.2728210322227101,9.358123195259063,81.54023795709577,0,0,0
4,13,87.94803593199006,0,6,0.7535705354758946,7.555947764723327,87.15067199689302,0,0,0
10,20,50.825057642559656,0,4,0.5206486019031329,8.485757146844623,72.53684689834897,0,0,0
15,31,31.94738254981058,2,15,0.891453751126476,7.758642488051753,84.21545863830349,0,0,0
18,22,31.380252747753936,3,43,0.6658606135539936,9.286308821353872,73.44732201496159,0,0,1
32,35,13.053416160959168,3,28,0.7904694600380142,7.545071211250012,70.57694210457093,0,0,1
3,18,7.978048078690792,2,16,0.14764234201193643,7.416939584694664,77.35968722596154,0,0,0
52,23,112.06614665180948,4,40,0.10001047127982954,8.145118400190135,70.2081580837145,0,0,1
47,2,66.4624274945834,0,49,0.5473107539391241,8.621733955027963,75.19148131060724,0,1,1
16,32,75.8974685929346,1,10,0.13936206329197254,8.914977223921106,69.45848934517097,0,0,0
7,1,42.15646569162879,1,22,0.39311632185755796,9.570836405898184,66.1029250525347,0,1,0
22,10,18.687450016711225,4,11,0.5351948657113321,7.442076729336067,78.9276394277746,0,0,1
26,25,113.48066286552722,1,46,0.7093844063052799,8.576526136208669,75.68681533173434,0,0,0
56,2,40.02016675240908,3,26,0.37249084685568257,9.46137223344257,73.15438657178592,0,1,1
